title,vote_average,language
Superboys of Malegaon,8.3,hi
Deva,8,hi
Fateh,8,hi
Chhaava,7.8,hi
Officer on Duty,7.5,ml
Thandel,7.1,te
Rekhachithram,7,ml
Azaad,7,hi
Identity,6.8,ml
Painkili,6.5,ml
Dhoom Dhaam,6.4,hi
Sky Force,6.2,hi
Kadhalikka Neramillai,6.2,ta
Vidaamuyarchi,6,ta
Nilavuku En Mel Ennadi Kobam,6,ta
Loveyapa,6,hi
Sankranthiki Vasthunam,5.917,te
Daaku Maharaaj,5.4,te
Crazxy,5,hi
Game Changer,4.5,te
Vanangaan,4.5,ta
Madha Gaja Raja,3,ta
Dragon,10,ta
Mere Husband Ki Biwi,10,hi
Butterfly,10,ta
Badass Ravi Kumar,1,hi
Aghathiyaa,0,ta
Rambo,0,hi
Sabdham,0,ta
Machante Malakha,0,ml
Kannappa,0,te
Prishati,0,hi
The Diplomat,0,hi
Empuraan,0,ml
The Strange Life of Dhrubo,0,bn
The Loop,0,bn
Nadaaniyan,0,hi
Untitled Saurabh Tewari directorial on Sandeshkhali,0,hi
Kingston,0,ta
Mazaka,0,te
Gentlewoman,0,ta
Aalambana,0,ta
Badnaam,0,pa
Adhirshtasaali,0,ta
Emergency,0,hi
The Raja Saab,0,te
Hari Hara Veera Mallu : Part 1 - Sword vs Spirit,0,te
Veera Dheera Sooran: Part 2,0,ta
Niram Marum Ulagil,0,ta
War 2,0,hi
Love Insurance Kompany,0,ta
Baaghi 4,0,hi
Manidham,0,ta
Asthram  â€“ The Secret,0,ta
Address,0,ta
Maqam,0,hi
Good Bad Ugly,0,ta
Kirtaner Por Kirtan,0,bn
Toxic,0,kn
Kaushaljis vs Kaushal,0,hi
Robinhood,0,te
Get-Set Baby,0,ml
Fussclass Dabhade,0,mr
